Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng_5	7.054478	0.121845	0.000019	0.999746
specsjeng_6	7.054221	0.121829	0.000018	0.999989
specsjeng_7	7.054338	0.121829	0.000018	0.999987
specsjeng_8	7.054502	0.121829	0.000018	0.999987
specsjeng_9	4.985786	0.060917	0.000012	0.999979
specsjeng_10	3.715485	0.030461	0.000008	0.999965
specsjeng_11	3.715483	0.030461	0.000008	0.999957
specsjeng_12	2.753630	0.007617	0.000005	0.999851
specsjeng_13	2.753630	0.007617	0.000005	0.999860
specsjeng_14	2.753630	0.007617	0.000005	0.999860
specsjeng_15	2.753630	0.007617	0.000005	0.999863
specsjeng_16	2.753630	0.007617	0.000005	0.999863
specsjeng_17	2.641057	0.003811	0.000003	0.999678
specsjeng_18	2.641057	0.003811	0.000003	0.999697
specsjeng_19	2.641011	0.003811	0.000003	0.999697
specsjeng_20	3.236172	0.019798	0.000009	0.625581
specsjeng_21	3.002167	0.014082	0.000008	0.371255


Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf_0	1.102247	0.003205	0.000034	0.541138
specmcf_1	1.099705	0.002586	0.000034	0.667579
specmcf_2	1.097279	0.002198	0.000034	0.788200
specmcf_3	1.097201	0.002198	0.000029	0.790158
specmcf_4	1.095253	0.002198	0.000029	0.732935
specmcf_5	1.093063	0.002198	0.000029	0.678286
specmcf_6	1.091023	0.001907	0.000019	0.782270
specmcf_7	1.095318	0.001865	0.000019	0.923510
specmcf_8	1.094928	0.001858	0.000019	0.921726
specmcf_9	1.094928	0.001858	0.000019	0.921726
specmcf_10	1.077225	0.001084	0.000013	0.862356
specmcf_11	1.072008	0.000721	0.000009	0.735622
specmcf_12	1.071926	0.000704	0.000009	0.753816
specmcf_13	1.075348	0.000888	0.000009	0.683241
specmcf_14	1.096914	0.000666	0.000005	0.119267
specmcf_15	1.097040	0.000679	0.000005	0.116840
specmcf_16	1.097040	0.000679	0.000005	0.116840
specmcf_17	1.097112	0.000685	0.000005	0.115868
specmcf_18	1.097112	0.000685	0.000005	0.115868
specmcf_19	1.098218	0.000677	0.000003	0.058047
specmcf_20	1.557152	0.026082	0.029449	0.006524
specmcf_21	1.744485	0.028690	0.029943	0.004850

Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer_0	5.618177	0.057371	0.100696	0.890215
spechmmer_1	3.675353	0.019356	0.036706	0.915751
spechmmer_2	5.589006	0.053120	0.100885	0.913097
spechmmer_3	5.589006	0.053120	0.100204	0.917589
spechmmer_4	5.589006	0.053120	0.100204	0.917589
spechmmer_5	5.589006	0.053120	0.100204	0.917589
spechmmer_6	5.505899	0.052221	0.093216	0.968831
spechmmer_7	5.505899	0.052221	0.093216	0.968831
spechmmer_8	5.505899	0.052221	0.093216	0.968831
spechmmer_9	4.430572	0.036066	0.066544	0.955166
spechmmer_10	3.867043	0.025484	0.048823	0.944751
spechmmer_11	3.675353	0.019356	0.036706	0.915751
spechmmer_12	3.703423	0.019356	0.037886	0.896057
spechmmer_13	3.874604	0.016010	0.027341	0.886256
spechmmer_14	3.874604	0.016010	0.027341	0.886256
spechmmer_15	3.874604	0.016010	0.027341	0.886256
spechmmer_16	3.874604	0.016010	0.027341	0.886256
spechmmer_17	4.569107	0.011765	0.021277	0.830303
spechmmer_18	4.540499	0.011765	0.021077	0.835366
spechmmer_19	4.540499	0.011765	0.021077	0.835366
spechmmer_20	4.540499	0.011765	0.021077	0.835366
spechmmer_21	4.540499	0.011765	0.021077	0.835366
spechmmer_22	4.570098	0.012500	0.021077	0.815476
spechmmer_23	4.570098	0.012500	0.021077	0.815476
spechmmer_24	4.751916	0.011765	0.030297	0.652381
spechmmer_25	4.751916	0.011765	0.030297	0.652381
spechmmer_26	4.540499	0.011765	0.021077	0.835366













